s_no,parent,name,legend,suffix,object,svg,png,grips
101,General,Insulation/Tracing,,,Insulation,,,
201,Process Quantities,Liquid Flow,,,LiquidFlow,,,
202,Process Quantities,Gas Flow,,,GasFlow,,,
203,Process Quantities,Pressure and Temperature,,,PressureAndTemperature,,,
301,Piping,Inflow Line,,,InflowLine,,,
302,Piping,Outflow Line,,,OutflowLine,,,
303,Piping,Connecting Line,,,ConnectingLine,,,
304,Piping,Cross Over Line,,,CrossOverLine,,,
305,Piping,Direction of Process Flow,,,DirectionProcessFlow,,,
306,Piping,Slope of a Process Line,,,SlopeProcessLine,,,
307,Piping,Dead End,,,DeadEnd,,,
308,Piping,Buried Line,,,BuriedLine,,,
309,Piping,Vendor Limit Line,,,VendorLimitLine,,,
310,Piping,Tracing,,,Tracing,,,
311,Piping,Change of Pipe Specification,,,ChangePipeSpecification,,,
312,Piping,Centre Line,,,CenterLine,,,
313,Piping,Coil,,,Coil,,,
314,Piping,Process Line,,,ProcessLine,,,
315,Piping,Jacketted Line,,,JackettedLine,,,
401,Valves,Gate Valve,PRV,A/B,GateValve,,,
402,Valves,Globe Valve,PRV,A/B,GlobeValve,,,
403,Valves,Check Valve,PRV,A/B,CheckValve,,,
404,Valves,Angle Valve,PRV,A/B,AngleValve,,,
405,Valves,Diaphragm Valve,PRV,A/B,DiaphragmValve,,,
406,Valves,Safety Valve,PRV,A/B,SafetyValve,,,
407,Valves,Ball Valve,PRV,A/B,BallValve,,,
408,Valves,Solenoid Valve,PRV,A/B,SolenoidValve,,,
409,Valves,Float Valve,PRV,A/B,FloatValve,,,
410,Valves,Butterfly Valve,PRV,A/B,ButterflyValve,,,
411,Valves,Regulating Globe Valve,PRV,A/B,RegulatingGlobeValve,,,
412,Valves,Foot Valve With Strainer,PRV,A/B,FootValveStrainer,,,
413,Valves,Plug Valve,PRV,A/B,PlugValve,,,
414,Valves,Control Valve,PRV,A/B,ControlValve,,,
415,Valves,Piston Operated Hydraulic Control Valve,PRV,A/B,PistonOperatedHydraulicControlValve,,,
416,Valves,Electrically Operated Control Valve,PRV,A/B,ElecticallyOperatedControlValve,,,
417,Valves,Pinch Valve,PRV,A/B,PinchValve,,,
418,Valves,Spring Loaded Valve,PRV,A/B,SpringLoadedValve,,,
419,Valves,Control Valve with Hand Wheel,PRV,A/B,ControlValveHandWheel,,,
420,Valves,PCV Down Stream,PRV,A/B,PCVDownStream,,,
421,Valves,PCV Up Stream,PRV,A/B,PCVUpStream,,,
422,Valves,Hand Operated Valve,PRV,A/B,HandOperatedValve,,,
423,Valves,Plunger Operated Valve,PRV,A/B,PlungerOperatedValve,,,
424,Valves,Pilot Operated Valve,PRV,A/B,PilotOperatedValve,,,
425,Valves,4 way Valve,PRV,A/B,4WayValve,,,
426,Valves,Needle Valve,PRV,A/B,NeedleValve,,,
427,Valves,Positive Choke,PRV,A/B,PositiveChoke,,,
428,Valves,Adjustable Choke,PRV,A/B,AdjustableChoke,,,
429,Valves,Motor Operated Valve,PRV,A/B,MotorOperatedValve,,,
501,Fittings,Expansion Joint,FT,,ExpansionJoint,,,
502,Fittings,Hose Connector ,FT,,HoseConnector,,,
503,Fittings,Flexible Hose,FT,,FlexibleHose,,,
504,Fittings,Spectacle Blind,FT,,SpectacleBlind,,,
505,Fittings,Line Blind,FT,,LineBlind,,,
506,Fittings,Reducer/Expander,FT,,ReducerExpander,,,
507,Fittings,Blind Flange,FT,,BlindFlange,,,
508,Fittings,Drain Funnel,FT,,DraingFunnel,,,
509,Fittings,Threaded Cap,FT,,Threaded Cap,,,
510,Fittings,Orifice,FT,,Orifice,,,
511,Fittings,Venturi Meter,FT,,VenturiMeter,,,
512,Fittings,Steam Trap,FT,,SteamTrap,,,
513,Fittings,Vent with Goose Neck,FT,,VentGooseNeck,,,
514,Fittings,Sight Glass,FT,,SlightGlass,,,
515,Fittings,Union,FT,,Union,,,
516,Fittings,Coupling,FT,,Coupling,,,
517,Fittings,Adaptor,FT,,Adaptor,,,
518,Fittings,Flow Element,FT,,FlowElement,,,
519,Fittings,Turbine Meter,FT,,TurbineMeter,,,
520,Fittings,Position Displacement Meter,FT,,PositiveDisplacementMeter,,,
521,Fittings,Rotameter,FT,,Rotameter,,,
522,Fittings,Sonic Meter,FT,,SonicMeter,,,
523,Fittings,Magnetic Meter,FT,,MagneticMeter,,,
524,Fittings,Pitot Tube,FT,,PilotTube,,,
525,Fittings,Drain Plugged,FT,,DrainPlugged,,,
526,Fittings,Drain Flanged,FT,,DrainFlanged,,,
527,Fittings,Straightening Vanes,FT,,StraighteningVanes,,,
528,Fittings,Analyser,FT,,Analyser,,,
529,Fittings,Filter,FT,,Filter,,,
530,Fittings,Filter,FT,,Filter,,,
531,Fittings,T type Strainer,FT,,TTypeStrainer,,,
532,Fittings,Y type Strainer,FT,,YTypeStrainer,,,
533,Fittings,Temporary Strainer,FT,,TemporaryStrainer,,,
534,Fittings,Basket Strainer,FT,,BasketStrainer,,,
535,Fittings,Flame Arrester,FT,,FlameArrester,,,
536,Fittings,Cone type Strainer,FT,,ConeTypeStrainer,,,
537,Fittings,Sample Point,FT,,SamplePoint,,,
538,Fittings,Pipe Cap Welded,FT,,PipeCapWelded,,,
601,Instrumentation Symbol,Instrument Air Signal,,,InstrumentAirSignal,,,
602,Instrumentation Symbol,Instrument Electric Signal,,,InstrumentElectricSignal,,,
603,Instrumentation Symbol,Instrument Supply Lines,,,InstrumentSupplyLines,,,
604,Instrumentation Symbol,Instrument Cappillary Tubing,,,InstrumentCappillarTubing,,,
605,Instrumentation Symbol,Hydraulic Lines,,,HydraulicLines,,,
606,Instrumentation Symbol,Software Connections,,,SoftwareConnections,,,
607,Instrumentation Symbol,Locally Mounted Instruments,,,LocallyMountedInstruments,,,
608,Instrumentation Symbol,Instrument Mounted on Main Panel,,,InstrumentMountedMainPanel,,,
609,Instrumentation Symbol,Instrument Mounted on Local Panel,,,InstrumentMountedLocalPanel,,,
610,Instrumentation Symbol,Transmitter Locally Mounted,,,TransmitterLocallyMounted,,,
611,Instrumentation Symbol,Transmitter Panel Mounted,,,TransmitterPanelMounted,,,
612,Instrumentation Symbol,Computer,,,Computer,,,
613,Instrumentation Symbol,Computer Local Panel,,,CompuerLocalPanel,,,
614,Instrumentation Symbol,DCS/DIDC,,,DCS,,,
615,Instrumentation Symbol,Gas Filter,,,GasFilter,,,
616,Instrumentation Symbol,Interlock,,,Interlock,,,
617,Instrumentation Symbol,Rear Panel Intrument,,,RearPanelIntrument,,,
618,Instrumentation Symbol,Running Light(local),,,RunningLightLocal,,,
